source	CELLLINES_Basal	CELLLINES_Basal_Rank	CELLLINES_Claudin-low	CELLLINES_Claudin-low_Rank	CELLLINES_ERBB2AMP	CELLLINES_ERBB2AMP_Rank	CELLLINES_Luminal	CELLLINES_Luminal_Rank	TCGA_Basal	TCGA_Basal_Rank	TCGA_ERBB2AMP	TCGA_ERBB2AMP_Rank	TCGA_Luminal	TCGA_Luminal_Rank	BOTH_Basal	BOTH_Luminal	BOTH_ERBB2
MYC/Max/MIZ-1/ZO2 (complex)	-1.519281547	2059	-0.113600441	1320	-0.261486531	1499	-1.143371168	2130	0.99482021	1054	0.413861939	1116	-0.205286162	1132	1556.5	1631	1307.5
MYT1	-2.50017408	2302	-0.358435879	1542	0.222621233	623	1.178681094	433	-0.903999699	1739	-1.027702528	1993	1.09051834	660	2020.5	546.5	1308
Centrosome associated  Plk1 (complex)	0.48145851	917	1.134341174	368	-0.376921699	1691	-1.256462518	2176	3.042394072	387	0.698713318	925	-3.792303141	2296	652	2236	1308
MAPK11/ERK6/MAPK13/p38;p38 Target Kinases	-2.03571215	2219	1.23496972	334	-0.378188164	1693	0.371986568	1025	0.807042264	1141	0.700351098	924	-1.052963349	1459	1680	1242	1308.5
SLCO1A2	-0.228384047	1390	-0.423228695	1610	-0.255788086	1490	1.222546868	410	2.214351049	620	0.397353262	1128	-2.261396458	1903	1005	1156.5	1309
SDCBP	-0.741238756	1673	0.462173654	801	-0.508070833	1893	-1.872904132	2354	1.946989992	701	1.026151724	728	-0.525054971	1255	1187	1804.5	1310.5
IL18/IL18R (complex)	-0.354277071	1470	0.183421782	1044	0.223763025	621	0.807976707	666	-2.675159282	2188	-1.038131188	2001	1.164442053	635	1829	650.5	1311
MYC/Max/MIZ-1 (complex)	-0.321021312	1451	-0.436798826	1622	-0.61381145	2017	-1.787962306	2346	0.738215032	1167	1.243007136	605	0.162853562	989	1309	1667.5	1311
FGFR1-FGF complex/Sef (complex)	-0.575766871	1590	0.425839102	832	0.108406099	814	-1.899715542	2359	1.000880209	1049	-0.652260337	1809	0.430182289	897	1319.5	1628	1311.5
ACTL6A	0.965475615	615	-0.945577325	1985	0.21454094	636	-0.88899671	2004	6.112315916	38	-1.012571875	1988	-1.871403109	1774	326.5	1889	1312
EPHB2	2.387608618	105	0.936909257	468	-0.874353171	2267	-1.775980799	2341	1.333331841	932	1.808992202	357	-2.087576058	1841	518.5	2091	1312
FAAH	1.862385241	216	-0.627819815	1777	0.167035081	712	-1.109654055	2111	0.235764021	1342	-0.848119181	1913	-0.052742717	1087	779	1599	1312.5
GLI1/Su(fu) (complex)	-1.904465376	2187	-0.461554581	1646	-0.106514253	1204	1.979352609	143	-2.40894569	2123	-0.029425069	1422	0.893630857	728	2155	435.5	1313
THOC4	-0.691436584	1651	1.166821323	349	0.000333049	998	0.468528716	955	1.836870286	736	-0.344207973	1628	-1.083860946	1474	1193.5	1214.5	1313
rRNA transcription (abstract)	0.268126027	1047	1.614455462	197	-0.088117963	1163	0.778160084	697	5.595320673	55	-0.093630765	1464	-4.329631863	2394	551	1545.5	1313.5
PACAP:PACAP type 1 receptor (complex)	-0.013248237	1250	-0.235872351	1428	0.431073465	359	0.04821478	1307	0.824652682	1137	-1.757703085	2269	0.082134722	1030	1193.5	1168.5	1314
CD86	0.675497864	785	-1.658318027	2273	-0.235835802	1459	0.336345778	1064	1.287860712	946	0.344141758	1169	-0.899312179	1391	865.5	1227.5	1314
CASP2;Caspase 2 (tetramer) (complex)	0.276345775	1037	0.347974586	892	0.023359483	965	0.549477365	879	3.692238882	246	-0.40286883	1663	-3.012642553	2116	641.5	1497.5	1314
SFRS1	-1.780193933	2149	-0.11323808	1318	0.002224075	990	-0.274661321	1581	-1.120033754	1792	-0.361042454	1639	1.806054843	437	1970.5	1009	1314.5
PRLHR	-1.386832376	2007	-0.95503846	1990	-0.711100518	2117	-0.178238925	1513	1.074755321	1022	1.436302097	513	-0.052564258	1086	1514.5	1299.5	1315
SERPINI1	-0.720315875	1666	0.496804394	783	0.475777765	317	-0.692053867	1883	2.768755131	454	-1.919023897	2313	-0.548523635	1263	1060	1573	1315
SMAD2-3/SMAD4/ARC105 (complex)	0.406758	965	-0.089767666	1291	-0.321926338	1600	-0.917276355	2020	3.058441261	382	0.532197362	1032	-2.00411139	1814	673.5	1917	1316
EIF2B5	-0.145135262	1336	-0.287126036	1484	0.396076776	399	0.783462835	692	1.013725521	1043	-1.61451094	2235	-0.913536287	1397	1189.5	1044.5	1317
PIAS4	-1.319576313	1973	-0.591979555	1757	-1.056410079	2357	-0.886392849	2002	-3.741814861	2326	2.01578615	277	2.510593667	295	2149.5	1148.5	1317
CD44	2.829416113	56	0.937157807	467	0.310888101	499	-1.662502386	2314	2.31624881	585	-1.345800963	2135	-1.761044493	1735	320.5	2024.5	1317
EDN1;Endothelin 1/Endothelin receptor (complex)	-1.808720424	2161	-0.055441632	1260	0.358420745	449	1.175408134	435	0.587146553	1226	-1.475477117	2186	-0.688127564	1315	1693.5	875	1317.5
PIK3CA	0.410057303	962	-0.600720301	1764	0.495920037	300	0.068009701	1284	5.296911313	65	-2.009395439	2335	-1.878215816	1776	513.5	1530	1317.5
PPID	-0.484444702	1533	0.369511844	875	0.241756617	593	0.490009382	931	-2.664291765	2184	-1.135291765	2045	1.664635371	490	1858.5	710.5	1319
SAG	-0.862727817	1748	1.841071193	148	-0.428000668	1767	-0.578391058	1807	-1.747293473	1980	0.781314713	873	0.943855606	713	1864	1260	1320
FAF1	2.743083585	62	0.751629929	586	0.101658554	823	-3.151057749	2485	4.678137254	105	-0.670813843	1818	-3.670756091	2269	83.5	2377	1320.5
AGRP	1.674657323	273	1.719865048	171	-0.190253696	1371	2.712788287	46	1.780744024	764	0.20122869	1271	-4.613640592	2424	518.5	1235	1321
ADCY8	0.78058926	710	-0.047277011	1253	-0.653473045	2058	1.461137573	304	1.561530359	836	1.282978695	586	-2.716331658	2039	773	1171.5	1322
L-selectin interacting with known ligands (complex);SELL	-0.440460288	1510	-1.958152969	2344	-0.075599049	1144	0.920430383	584	-0.249189254	1509	-0.160607636	1502	0.851825356	741	1509.5	662.5	1323
PF4	-1.35035467	1994	-0.595511957	1759	-0.192625892	1374	-0.098921498	1444	1.610145942	817	0.200559483	1272	0.097431243	1022	1405.5	1233	1323
SLK	-0.778443072	1696	-0.164945126	1374	-0.623212951	2030	0.035239487	1316	-1.388004006	1881	1.227486981	617	0.871574722	736	1788.5	1026	1323.5
APOC2	0.216824924	1079	-2.096830302	2366	-0.417639864	1752	-0.17503901	1508	-0.134931468	1468	0.744631227	897	1.027590166	681	1273.5	1094.5	1324.5
GRB10;NGF (dimer)/TRKA/MATK (complex);MATK;APS;SCF/KIT (complex);PTPRO;megakaryocyte differentiation (abstract);SH2B3;STAP1	-0.878249875	1756	0.303340918	923	-0.48152504	1851	-1.777622518	2342	3.345493238	309	0.898156453	799	-3.289239021	2191	1032.5	2266.5	1325
beta catenin/duplin (complex)	-2.255243834	2267	0.40594041	843	-0.405446038	1738	-1.884022292	2355	-1.867615026	2007	0.720439823	913	1.402196905	562	2137	1458.5	1325.5
Syndecan-3/Neurocan (complex)	1.307433343	430	0.720346376	605	-0.515825812	1903	0.228787372	1154	2.905016975	420	1.005818754	748	-3.410296229	2216	425	1685	1325.5
KU/TERT (complex);Telomerase catalytic core complex (complex);TERT	-3.502795513	2411	0.288354078	934	0.353429082	454	0.794259821	680	1.355537216	922	-1.522710917	2200	-1.325880174	1583	1666.5	1131.5	1327
ZBTB7A	-1.902987906	2186	-1.006151055	2024	-0.760086363	2160	-0.249460237	1567	-5.130813145	2425	1.466018563	497	3.796592454	117	2305.5	842	1328.5
ELSPBP1	-0.870349589	1753	-0.88014782	1945	-0.13683822	1258	-0.687001921	1880	-0.48177768	1586	0.000723883	1400	1.742549892	464	1669.5	1172	1329
PCSK2	-1.293609237	1960	-0.74614559	1865	-0.696073736	2101	1.479189529	298	-1.282017666	1844	1.328303822	559	0.4221033	898	1902	598	1330
Ultraviolet Radiation (abstract)	1.689089183	270	0.504391809	775	-0.284528974	1538	-1.298274446	2193	3.215237688	342	0.400978118	1122	-1.785722058	1741	306	1967	1330
TANK	0.555528977	856	0.536430984	747	0.062628277	890	0.507834355	919	3.393936667	299	-0.596158391	1772	-3.546297395	2243	577.5	1581	1331
UGT1A6	1.584935445	307	0.474777609	797	-0.497474078	1874	0.335186751	1065	2.866723491	428	0.923430975	788	-3.236420871	2180	367.5	1622.5	1331
IL12A	1.918488186	200	0.75765456	577	-0.036664358	1071	-1.70397788	2324	5.286386255	67	-0.302981672	1592	-3.295425111	2194	133.5	2259	1331.5
ErbB4/ErbB4/betacellulin/betacellulin (complex)	0.464040874	928	-0.493548695	1678	0.450400853	338	1.283561845	380	0.741292373	1164	-1.963453617	2326	-0.630296869	1295	1046	837.5	1332
SNRPD2	0.72401877	743	-0.469205508	1653	-0.28133436	1528	-0.042876938	1395	1.69688555	789	0.390884916	1137	-1.428414111	1618	766	1506.5	1332.5
WNT3A/FZD1 (complex)	-0.170453376	1352	-0.150458665	1357	-0.276160423	1515	1.265624934	394	3.081618499	374	0.372996063	1152	-2.6340261	2005	863	1199.5	1333.5
RPL5	3.016071625	41	2.376865706	75	0.450888725	337	-1.194454795	2155	5.281800919	68	-1.976396006	2330	-4.862260925	2444	54.5	2299.5	1333.5
POU4F1	0.27121791	1045	-0.937139609	1981	-0.268769497	1505	-0.836472743	1977	1.16303728	994	0.358157254	1164	-0.444896544	1216	1019.5	1596.5	1334.5
pTie2:SHC1 complex (complex)	1.619893877	294	-0.230956468	1422	-0.47666951	1843	-1.51121951	2268	5.061406692	77	0.847852195	826	-4.669754828	2429	185.5	2348.5	1334.5
IL2R gamma cytokines/IL2R gamma (complex);TCR/CD3/MHC I/CD8 (complex)	-0.138894994	1333	-1.291574052	2157	-0.828147556	2225	-0.798085007	1955	2.877762596	424	1.584623897	446	-0.127125887	1105	878.5	1530	1335.5
4-1BBL/4-1BB/TRAF2 (complex);TNFSF9	0.134263267	1142	0.914282074	482	-1.241038406	2418	-2.868024028	2470	-0.471332879	1584	2.109421423	253	0.377645535	910	1363	1690	1335.5
HNRNPA1	-2.934309355	2366	-2.156692696	2378	-0.130134112	1245	0.891440329	605	-3.045171407	2240	-0.040681756	1430	4.264066781	89	2303	347	1337.5
FKBP25/HDAC1/HDAC2 (complex)	-1.022778854	1828	-0.012139209	1220	-0.361880131	1659	0.780786965	695	-3.053393304	2242	0.555703614	1018	2.361403245	323	2035	509	1338.5
OXTR	0.46960299	926	1.35332386	278	-0.689788003	2098	1.388583865	334	-0.244064181	1507	1.295975939	579	-1.058657197	1461	1216.5	897.5	1338.5
ARHGAP1	-1.340964264	1985	0.203663288	1023	-0.009765291	1018	0.798237626	676	-0.454798111	1582	-0.398155382	1660	0.88584415	730	1783.5	703	1339
alphaM/beta2 Integrin/ICAM1 (complex)	1.978592658	185	-0.011318612	1218	-0.319193559	1597	-1.266638744	2180	1.953838429	698	0.454800811	1081	-1.387106845	1607	441.5	1893.5	1339
regulation of centriole-centriole cohesion (abstract)	-0.167633831	1350	-0.160631686	1368	0.438368311	351	-0.833077426	1975	-1.118325922	1791	-1.970258271	2329	1.405999292	561	1570.5	1268	1340
CSNK1A1	-1.205684066	1928	1.249703028	329	0.38559019	410	2.149975358	115	-4.968549574	2416	-1.765818295	2272	2.66752238	264	2172	189.5	1341
ORAI1	-1.735542828	2138	-1.578242374	2250	-0.452519271	1810	-0.099270278	1445	-0.859416301	1722	0.782689663	872	1.834753637	429	1930	937	1341
regulation of DNA replication initiation (abstract)	0.069864046	1185	-0.337375296	1524	-0.120758147	1231	-0.927752343	2024	1.7876091	759	-0.072881253	1452	-0.36216043	1178	972	1601	1341.5
G1 phase of mitotic cell cycle (abstract);SHC1	2.418447125	101	2.61530897	52	-0.929579249	2293	-3.034566681	2474	8.482999759	10	1.730690512	390	-6.2534701	2504	55.5	2489	1341.5
SKIL;SMAD2/SMAD2/SMAD4/p300/CBP (complex)	-0.063104817	1280	-0.21614538	1415	0.218059959	630	-0.407329747	1692	1.402969296	904	-1.159072797	2057	0.34941333	918	1092	1305	1343.5
ALOX12B;CXCL1;CD3E;CXCL9;CXCL9/CXCR3 (complex);CCL2;IL19;IL24;keratinocyte proliferation (abstract);positive regulation of chronic inflammatory response (abstract);positive regulation of humoral immune response (abstract);positive regulation of T cell mediated cytotoxicity (abstract)	0.360946036	988	-3.911000651	2497	-0.802491394	2198	-0.399736847	1688	2.511795853	518	1.48704455	489	-1.756924905	1732	753	1710	1343.5
F XIa_0-0	-1.440838686	2029	-0.656928418	1812	0.001311343	994	1.053624365	513	-3.446330521	2288	-0.454017702	1694	2.081233606	372	2158.5	442.5	1344
ATP6V1H	-1.100479645	1869	-0.622559799	1775	-0.217714548	1423	-0.734813732	1914	-1.907965855	2010	0.205609994	1265	2.196313769	345	1939.5	1129.5	1344
PTN	0.831898031	668	1.341086593	285	0.186471745	686	0.497684887	925	2.113674598	653	-1.040297648	2002	-2.816362813	2069	660.5	1497	1344
KLC1	-1.036763565	1839	0.085322044	1138	-0.295143285	1557	1.187453821	427	-1.165614324	1802	0.393690331	1132	0.802655314	750	1820.5	588.5	1344.5
GTF2B;RNA Polymerase II (unphosphorylated):TFIIF complex (complex)	3.338871417	26	2.876321454	36	0.639176114	198	-3.189506357	2490	4.068385636	180	-3.947214614	2492	-2.961069609	2102	103	2296	1345
PPP1CC	-1.184572794	1915	-0.889816456	1953	0.291340091	527	1.966976025	148	-0.809047532	1699	-1.425754086	2164	1.285511039	594	1807	371	1345.5
ELA2	-1.676574608	2114	-0.828734936	1912	-0.636536257	2048	-1.083187552	2098	2.418302654	541	1.176520062	643	1.050375982	675	1327.5	1386.5	1345.5
EGR4	0.441128163	945	-0.3803793	1563	0.249641732	580	0.756611156	715	-1.310207761	1853	-1.306884415	2113	-1.308621439	1575	1399	1145	1346.5
SEC61A1	1.396280376	382	-0.395145743	1581	-0.339178344	1631	0.010483538	1347	0.731132984	1168	0.486186723	1063	-0.925348786	1400	775	1373.5	1347
Na + (4 Units) (complex);SLC24A2	-0.773366807	1694	-0.977032099	2007	-0.432467998	1777	-1.280540296	2184	0.798032697	1144	0.714766279	917	0.742370681	771	1419	1477.5	1347
NSUN2/NPM1/Nucleolin (complex)	1.032739225	590	2.427036375	71	0.140780929	762	-1.57189736	2285	3.058987288	381	-0.897182017	1932	-3.401117781	2215	485.5	2250	1347
p53/PIN1 (complex)	-0.078990334	1291	-0.744978384	1862	-0.504987601	1890	-0.342327205	1629	0.277965104	1329	0.887347621	806	-0.082530085	1092	1310	1360.5	1348
CALCR	-1.168217161	1906	0.878408464	501	-0.089148114	1167	2.442699908	73	-0.437589829	1574	-0.216454124	1531	-1.158405533	1511	1740	792	1349
SMAD3/SMAD4/Max (complex)	-1.333828672	1979	1.331716601	289	0.030505773	953	-0.674764843	1872	1.198909961	978	-0.56144196	1748	-1.385488057	1606	1478.5	1739	1350.5
ROBO1	-1.662233578	2108	0.221630976	999	-0.132170475	1250	-0.592423732	1821	0.513112797	1257	-0.073961928	1453	0.922369148	720	1682.5	1270.5	1351.5
alphaM/beta2 Integrin/CTGF (complex)	1.868310977	214	1.80283476	156	0.276602722	552	-0.35397497	1639	-1.076984354	1785	-1.387034302	2151	-0.44857759	1217	999.5	1428	1351.5
SMARCA4	1.141750683	527	-0.217716993	1417	-1.14928688	2392	-1.998608642	2372	0.814635565	1139	1.918124015	312	0.002471568	1059	833	1715.5	1352
alpha6 Integrin	0.452282224	937	0.712318188	611	0.013149461	976	0.970942262	554	-0.316132028	1530	-0.526628936	1733	-0.980118728	1427	1233.5	990.5	1354.5
ENG;HIF1A/ARNT/SMAD3/SMAD4/SP1 (complex)	0.749675314	727	1.306547127	301	-0.283305924	1534	-1.626386927	2296	-0.281172021	1520	0.33228924	1176	-0.57271303	1277	1123.5	1786.5	1355
ERBB4;ErbB4 activators/ErbB4/ErbB4 (complex);ErbB4/ErbB4/neuregulin 3/neuregulin 3 (complex);Gamma Secretase (complex)	0.54245529	865	0.573760442	710	0.440737754	347	2.327547862	90	-0.095868869	1455	-2.181982565	2364	-0.978380631	1425	1160	757.5	1355.5
Alpha-Synuclein/Torsin A (complex);Alpha-Synuclein/DJ1 (aggregates) (complex);Alpha-Synuclein/DJ1 (complex);Alpha-Synuclein/DAT (complex);Alpha-Synuclein/HSP70-1/CHIP (complex);Alpha-Synuclein/alpha-Tubulin/beta-Tubulin (complex);Lewy Body;SNCA;LEWY BODY (complex)	-0.081608367	1293	-0.230851623	1421	-0.823335436	2221	-1.604379112	2291	2.405626401	549	1.486808985	490	-0.283829248	1148	921	1719.5	1355.5
AP1M1	1.28607838	443	3.430365647	19	-1.275475909	2424	-2.364238916	2418	1.437684376	894	1.990939713	288	-1.58395961	1664	668.5	2041	1356
IL1 alpha/IL1R1/IL1RAP (complex)	0.28030244	1034	-0.960842642	1995	0.079497465	858	-0.481837193	1745	3.006015351	396	-0.74940303	1856	-2.663427342	2016	715	1880.5	1357
CD160;MHC Class I interacting with CD160 (complex)	-1.532400486	2064	-0.380006579	1561	-0.080380977	1152	0.410345558	995	3.505126727	276	-0.270773021	1565	-1.642717759	1689	1170	1342	1358.5
TRAIL receptor-2:TRAIL Trimer (complex);TRAIL receptor-2:TRAIL complex (complex)	0.66029034	795	-0.549700419	1724	-0.021953488	1038	-1.033367009	2081	2.439872183	531	-0.429377626	1679	-1.190070966	1530	663	1805.5	1358.5
SET8;hMOF	-0.766371505	1686	-0.566761434	1735	-0.191359042	1373	-0.866091239	1991	0.525190703	1248	0.09108437	1346	0.652340712	802	1467	1396.5	1359.5
SF4	1.369920231	400	0.228763558	990	-1.641564907	2490	-0.624517546	1847	-0.364950431	1550	2.211163953	229	0.065738519	1037	975	1442	1359.5
RNA polymerase III:TFIIIB:TFIIIC:TFIIIA:Type 1 Open Promoter Complex (complex);RNA polymerase III:TFIIIB:TFIIIC:TFIIIA:Type 1 Promoter Complex (complex);TFIIIB:TFIIIC:TFIIIA:Type 1 Promoter Complex (complex);TFIIIC:TFIIIA:Type I Promoter Complex (complex)	1.065683864	559	0.64551467	658	-0.214785382	1417	-0.639049608	1854	-1.30126308	1849	0.154029036	1304	0.125299069	1011	1204	1432.5	1360.5
RPE65	1.519197736	334	0.21406588	1011	0.188523046	680	-1.887143516	2356	3.401594813	296	-1.125317807	2041	-1.97692731	1803	315	2079.5	1360.5
MCM3	1.552351759	322	0.499712545	781	-0.504746578	1889	-1.650225511	2308	6.032129915	41	0.840567604	833	-4.81530721	2440	181.5	2374	1361
GLI1;embryonic limb morphogenesis (abstract)	-2.832514717	2353	-1.212477905	2117	0.261393843	567	2.270469392	97	-3.158927357	2255	-1.402707193	2156	1.609245863	505	2304	301	1361.5
Activated AMPK heterotrimer (complex);STK11	-0.347481048	1467	0.412161687	839	-1.132820887	2380	-0.429656015	1706	-3.44881094	2289	1.836503146	343	1.017799635	685	1878	1195.5	1361.5
E2F4/DP2 (complex);E2F4/DP2/p107-p130 (complex)	2.847245705	53	0.561844899	721	0.082502347	855	0.634368086	800	3.454092155	287	-0.771127595	1868	-4.178710288	2367	170	1583.5	1361.5
AR	-1.39280779	2009	0.063639836	1157	0.299199918	517	1.084013542	501	-0.411862996	1565	-1.552072828	2208	-0.492208784	1237	1787	869	1362.5
SIRT1/FOXO4 (complex)	0.962459406	617	-0.498220847	1683	0.02847154	961	1.681027645	213	0.834396385	1134	-0.587850785	1765	-2.559219564	1987	875.5	1100	1363
SIGIRR	-1.803649841	2158	-1.98100974	2346	0.236624775	599	-0.2907646	1590	-4.186853995	2370	-1.331460563	2128	4.788806421	59	2264	824.5	1363.5
ICAM1	1.485327883	347	-0.701056904	1835	-0.721222365	2131	-1.408168076	2225	2.739330736	462	1.257807593	596	-1.517265221	1642	404.5	1933.5	1363.5
BCL2;neuron apoptosis (abstract);SMO/beta Arrestin2 (complex);forebrain development (abstract)	-1.508446186	2052	-0.130394514	1338	0.417760426	366	1.117654714	476	-1.839062035	1998	-2.174093657	2362	-1.655107606	1693	2025	1084.5	1364
SIRT3	-1.443562961	2032	-0.021165057	1229	0.368376594	433	-0.117955667	1458	-3.088516772	2247	-1.869891959	2298	3.627619264	138	2139.5	798	1365.5
APOC3	1.032747654	589	0.241574342	975	-0.489266771	1862	0.02754588	1331	0.396273789	1291	0.785236204	871	-1.734932474	1725	940	1528	1366.5
HGS	0.326704911	1006	0.895930641	490	-0.030473889	1059	-0.296487297	1596	0.892864293	1103	-0.421462118	1674	-1.119583725	1487	1054.5	1541.5	1366.5
SH3GL1	-3.102463483	2383	0.766193422	573	-0.985660393	2316	-1.491301769	2259	0.256970676	1338	1.679930993	417	0.554934084	845	1860.5	1552	1366.5
UXT	-1.985918458	2207	0.766450352	572	0.073280155	871	0.68520526	763	3.778686226	225	-0.763443664	1863	-1.724189386	1720	1216	1241.5	1367
NFATC3;positive T cell selection (abstract)	1.855733442	218	0.781148607	563	-0.283575705	1535	-1.893027248	2357	6.263822886	34	0.297675171	1199	-5.588994264	2487	126	2422	1367
CD72	1.344652415	413	-0.198449615	1403	-1.245078243	2419	0.060480715	1289	2.614522675	494	1.906733209	318	-2.937764832	2098	453.5	1693.5	1368.5
G beta5/gamma2 (complex);Gq family/GTP (complex);Gq family/GTP/EBP50 (complex);PLC beta	-2.695257623	2339	0.652126248	654	-0.120407395	1228	-0.270745302	1579	-4.162141179	2367	-0.170149421	1510	3.77536703	119	2353	849	1369
ErbB4/ErbB4/neuregulin 2 beta/neuregulin 2 beta (complex)	-0.600577029	1605	0.791837687	554	0.366030379	438	2.215530964	105	-0.878987738	1730	-1.883746717	2302	-0.946343764	1407	1667.5	756	1370
DDX20;RNA processing (abstract)	2.37787016	109	0.632217553	666	0.2498816	579	0.889796411	606	4.091177235	175	-1.421461592	2163	-4.152789266	2362	142	1484	1371
EPHB4	0.930956626	631	-0.289353649	1486	-0.427215519	1765	1.477819905	300	2.672771994	476	0.611404993	979	-3.088775316	2126	553.5	1213	1372
SPTBN1	2.286559054	123	1.378290413	267	-0.006139841	1014	-0.333254325	1620	4.413371867	140	-0.522380415	1731	-5.041984268	2454	131.5	2037	1372.5
SMAD6/SMURF1/SMAD5 (complex)	-1.786043974	2154	-0.109210052	1313	-0.04622056	1094	0.378004974	1021	-1.340364671	1865	-0.387173046	1652	1.214776489	617	2009.5	819	1373
CCL11;EOTAXIN/CCR3/g-alpha-s/g-beta/g-gamma (complex);AICDA;IgHG3;IL4R;ALOX15;ITGB3;IL-10/IL-10R/JAK1 (complex);IL10;CCL17;CCL26;IGHG1;IL13RA2;PSEL;PIGR;RETNLB;OPRM1;LTA;TNF-beta/TNF R2/RIP/TRAF1/TRAF2/TRAF3/I-TRAF (complex)	-0.773311045	1693	-1.467791724	2211	-0.159845499	1301	1.191177312	425	0.072654027	1406	-0.065167204	1447	-0.15733491	1112	1549.5	768.5	1374
eNOS:NOSIP (complex)	-0.198375143	1374	-0.758486534	1875	0.156254327	732	-1.31367998	2198	2.089034328	664	-1.063119684	2016	0.657695692	799	1019	1498.5	1374
SERPINC1;antithrombin III:heparin (complex)	-0.933488775	1779	-2.299385569	2404	0.143187498	757	0.406991992	997	-2.674131028	2187	-1.025122589	1992	2.697621781	256	1983	626.5	1374.5
F11R;JAM-A Homodimer (complex);JAM-A:PAR-aPKC complex (complex);LFA-1 bound to JAM-A (complex)	-0.292373635	1435	-4.986982087	2508	-0.470817412	1834	-0.80151019	1958	4.737387341	99	0.716296491	915	-0.306471086	1157	767	1557.5	1374.5
ErbB4 m80_652-1308;WWP1	-4.464328766	2464	-1.829690824	2323	0.456742233	333	2.06480476	129	-16.71818065	2516	-2.608177317	2419	4.424165878	77	2490	103	1376
SRA1	-1.365577965	1999	1.690925163	179	0.203797359	655	1.093423947	497	-4.561129324	2396	-1.261464965	2097	2.973047509	216	2197.5	356.5	1376
FOXO1/SKP2 (complex)	0.390855168	974	1.13748031	365	-0.553441801	1947	-2.900079204	2472	4.275744354	152	0.885608346	808	-3.904445554	2317	563	2394.5	1377.5
JUNB	1.799420068	230	-0.140805215	1349	0.064025932	887	-0.047206856	1398	0.149504849	1372	-0.77541134	1869	-0.104627031	1101	801	1249.5	1378
Orc4:Orc5:Orc3:Orc2:origin (complex)	0.932254428	629	-0.270813301	1463	-0.492854111	1868	0.118018046	1257	0.920348965	1088	0.753438102	892	-1.295653564	1569	858.5	1413	1380
MYOD1	-0.477427074	1528	-1.087212808	2061	-0.346652227	1637	-1.660457588	2313	1.505223889	865	0.400918129	1123	0.39321015	907	1196.5	1610	1380
LHB	-5.178905333	2488	-1.714635829	2285	-0.679550332	2085	-2.433151201	2430	1.886820139	720	1.11770735	677	-0.262584638	1145	1604	1787.5	1381
TAFs/TF2A/TBP/TF2F/TF2B/TF2H/TF2E/RNA POL II (complex);glucocorticoid/glucocorticoid receptor/glucocorticoid/glucocorticoid receptor/hSWI/SNF/NF1 (complex)	-8.784410489	2513	-0.754697173	1870	-0.184438	1362	1.020892958	524	-6.637229692	2472	-0.004017748	1401	5.127656134	42	2492.5	283	1381.5
Su(fu)/PIAS1 (complex)	-1.967784499	2203	0.614332266	680	-0.485148443	1855	0.849645626	630	-2.092345881	2052	0.727567834	908	0.912285737	722	2127.5	676	1381.5
PER1/TIMELESS (complex)	-0.989263382	1813	0.148957658	1083	-0.308470675	1581	0.118549506	1256	-0.820658264	1703	0.322381591	1183	0.656019415	800	1758	1028	1382
Cbp/p300/CITED2 (complex)	-1.216915865	1932	-0.145309945	1353	0.277241809	551	0.427559203	984	0.339543988	1308	-1.567943294	2213	-1.492029421	1636	1620	1310	1382
IL1RAP	1.006038323	602	-0.761565935	1876	0.371021045	429	-0.685536428	1878	5.316696894	63	-2.011074153	2336	-2.637948981	2007	332.5	1942.5	1382.5
Insulin responsive Vesicles (complex);SNARE/Synip (complex);glucose import (abstract);SLC2A4;TBC1D4	-1.776906475	2147	0.257723531	958	0.510684427	288	0.592379696	834	1.937416019	705	-3.58559703	2478	-2.198413363	1876	1426	1355	1383
CD96;Nectin-like 5 bound to CD96 (complex)	0.58031742	838	-1.111317762	2076	-0.469749447	1832	0.251014031	1141	1.000664151	1051	0.673610478	937	-0.972378513	1418	944.5	1279.5	1384.5
Ephrin A5/EPHB2 (complex)	0.7162541	750	-0.153069068	1360	-0.636792085	2049	-0.537852235	1780	-0.129855508	1467	1.037077118	721	-0.237620486	1138	1108.5	1459	1385
AES	-2.07986323	2228	0.228776573	989	-0.557869849	1953	-1.111790669	2113	-2.47473598	2141	0.859572885	818	2.368967659	321	2184.5	1217	1385.5
HMGB2	-0.810998891	1718	-0.631673241	1785	0.173030727	707	0.841966735	640	-2.889196446	2216	-1.183450829	2066	1.869162626	417	1967	528.5	1386.5
ELL	1.981850164	184	0.445752135	814	-1.539858086	2481	-0.734569338	1913	1.139086543	1007	1.974224832	292	-1.330969857	1587	595.5	1750	1386.5
IL23R	1.354418	408	0.327503039	900	0.014300112	973	-1.106289222	2109	3.725501403	237	-0.636667455	1800	-2.643658542	2010	322.5	2059.5	1386.5
HDAC4/RFXANK (complex)	1.026463317	593	1.987506219	121	-1.440538993	2465	-1.741652228	2332	2.178947527	632	1.916075277	313	-2.298718531	1912	612.5	2122	1389
proBDNF (dimer)/p75(NTR)/Sortilin (complex)	1.512551636	338	-0.254955309	1451	0.348075155	460	1.284681171	379	3.175324807	353	-1.93304082	2319	-2.562969242	1988	345.5	1183.5	1389.5
nectin-3(dimer)/I-afadin/I-afadin/nectin-2(dimer)/I-afadin/I-afadin (complex)	0.674916357	786	-1.768646133	2303	0.176404289	701	-0.270036769	1578	-2.635952905	2177	-1.212126697	2080	3.083721912	199	1481.5	888.5	1390.5
