CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
MDA-MB-468,MAP2K_1,PARP1,3,1,1.308472875,1.4573045,0,0.326154267,1.3468563,76.24596324,NA,1,MAP2K_1.PARP1
MFM-223,MAP2K_1,PARP1,3,1,1.082968083,0.5012477,43.27055146,1,0.2403713,63.14041708,NA,1,MAP2K_1.PARP1
M14,MAP2K_1,PARP1,3,1,1.186098887,0.4167056,0,0.151443623,3.0537308,30.94061707,NA,1,MAP2K_1.PARP1
BT-474,MTOR_2,PARP1,1,1,0.186471437,10,94.99857322,1e-04,0.1,12.89361663,NA,1,MTOR_2.PARP1
CAMA-1,MTOR_2,PARP1,1,1,1,0,100,1e-04,0.1,8.60866841,NA,1,MTOR_2.PARP1
HCC1419,MTOR_2,PARP1,1,1,1,0,100,0.00455227,0.8846455,51.536681,NA,1,MTOR_2.PARP1
HCC1500,MTOR_2,PARP1,1,1,0.964864996,0.5095245,0,1e-04,0.3919387,7.24069969,NA,1,MTOR_2.PARP1
MCF7,MTOR_2,PARP1,1,1,1,1.1386971,65.30604094,1e-04,0.1280116,0.06303735,NA,1,MTOR_2.PARP1
MDA-MB-175-VII,MTOR_2,PARP1,1,1,1,0,100,0.006443766,1.6897529,63.84622979,NA,1,MTOR_2.PARP1
MDA-MB-361,MTOR_2,PARP1,1,1,0.339058785,10,93.39986097,1,0.1092378,23.18088499,NA,1,MTOR_2.PARP1
T47D,MTOR_2,PARP1,1,1,0.978376632,1.942216,0,1e-04,0.1,24.03452449,NA,1,MTOR_2.PARP1
UACC-812,MTOR_2,PARP1,1,1,1,0.3183291,68.26616573,0.187009991,10,94.43150285,NA,1,MTOR_2.PARP1
BT-474,PARP1,PI3KCD,1,1,1,0.5408152,64.30467326,0.044424146,0.9386976,91.02852941,NA,1,PARP1.PI3KCD
CAMA-1,PARP1,PI3KCD,1,1,1,0,100,1,0,100,NA,1,PARP1.PI3KCD
HCC1500,PARP1,PI3KCD,1,1,1,0.7839246,79.42194502,0.10272584,0.7222374,41.91727857,NA,1,PARP1.PI3KCD
MCF7,PARP1,PI3KCD,1,1,1,10,93.20001659,0.337202385,9.9328505,86.99973564,NA,1,PARP1.PI3KCD
MDA-MB-361,PARP1,PI3KCD,1,1,1,0,100,1,10,90.00000234,NA,1,PARP1.PI3KCD
T47D,PARP1,PI3KCD,1,1,1,0,100,0.104864692,10,90.34992169,NA,1,PARP1.PI3KCD
UACC-812,PARP1,PI3KCD,1,1,1,0.1095855,94.50881855,0.434938134,1.3538345,85.38068196,NA,1,PARP1.PI3KCD
A549,CSNK2A1_2,PARP1_2,3,0.1,1,0,100,0.016693254,4.711499,7.79928059,NA,1,CSNK2A1_2.PARP1_2
Calu-3,CSNK2A1_2,PARP1_2,3,0.03,3,0.1,83.01607703,0.011995723,10,44.79423012,NA,1,CSNK2A1_2.PARP1_2
Calu-6,CSNK2A1_2,PARP1_2,3,0.03,1,0,100,0.009549205,1.3942314,0,NA,1,CSNK2A1_2.PARP1_2
DMS-114,CSNK2A1_2,PARP1_2,3,0.03,0.239268388,1.0577481,29.5437053,0.004863054,2.6146765,12.66111791,NA,1,CSNK2A1_2.PARP1_2
NCI-H1299,CSNK2A1_2,PARP1_2,3,0.1,1,0,100,0.025711107,1.9951677,6.85266381,NA,1,CSNK2A1_2.PARP1_2
NCI-H1437,CSNK2A1_2,PARP1_2,3,0.1,0.390675703,0.1,73.12698409,0.009574745,2.2886721,10.74991069,NA,1,CSNK2A1_2.PARP1_2
NCI-H1563,CSNK2A1_2,PARP1_2,3,0.03,3,0.6133034,0,0.005354541,0.9759664,15.20658791,NA,1,CSNK2A1_2.PARP1_2
NCI-H1703,CSNK2A1_2,PARP1_2,3,0.1,3,0.5366092,24.42722193,0.010192227,2.6932535,9.73324572,NA,1,CSNK2A1_2.PARP1_2
NCI-H1793,CSNK2A1_2,PARP1_2,3,0.1,3,0.354024,81.53260456,0.011830823,2.1074086,6.97103223,NA,1,CSNK2A1_2.PARP1_2
NCI-H1975,CSNK2A1_2,PARP1_2,3,0.03,3,1.5927621,87.78519375,0.023870924,2.5848662,0,NA,1,CSNK2A1_2.PARP1_2
NCI-H2085,CSNK2A1_2,PARP1_2,3,0.03,0.053269308,10,88.64788337,0.004260107,1.2793663,30.79605023,NA,1,CSNK2A1_2.PARP1_2
NCI-H2170,CSNK2A1_2,PARP1_2,3,0.03,3e-04,0.1,55.24106702,0.006843359,1.473628,1.17215543,NA,1,CSNK2A1_2.PARP1_2
NCI-H2228,CSNK2A1_2,PARP1_2,3,0.1,3,0.1509539,22.54795869,0.042130463,0.4978557,0,NA,1,CSNK2A1_2.PARP1_2
NCI-H2291,CSNK2A1_2,PARP1_2,3,0.01,0.143747974,1.2418651,88.61761332,0.002896143,0.7907332,0,NA,1,CSNK2A1_2.PARP1_2
NCI-H23,CSNK2A1_2,PARP1_2,3,0.1,3,0.2325924,40.28581698,0.006723222,0.953645,1.07013891,NA,1,CSNK2A1_2.PARP1_2
NCI-H3122,CSNK2A1_2,PARP1_2,3,0.1,0.047769639,1.1257477,83.35111345,0.006036917,2.4258875,0,NA,1,CSNK2A1_2.PARP1_2
NCI-H358,CSNK2A1_2,PARP1_2,3,0.1,3,0.323117,88.35908463,0.010463386,3.9721515,16.06800013,NA,1,CSNK2A1_2.PARP1_2
NCI-H520,CSNK2A1_2,PARP1_2,3,0.03,0.638340015,0.5234134,29.65175618,0.00530043,0.8662072,7.04736804,NA,1,CSNK2A1_2.PARP1_2
NCI-H522,CSNK2A1_2,PARP1_2,3,0.03,3,0.9633686,35.19823481,0.004369455,3.3700977,6.41760016,NA,1,CSNK2A1_2.PARP1_2
NCI-H838,CSNK2A1_2,PARP1_2,3,0.1,3,0.8262377,74.85874401,0.008957233,3.2351538,6.69633818,NA,1,CSNK2A1_2.PARP1_2
SW900,CSNK2A1_2,PARP1_2,3,0.01,3,0.8153182,65.24086868,0.002903623,2.3439013,28.61320814,NA,1,CSNK2A1_2.PARP1_2
BT-474,BCL2_3,PDGFR_Ab,10,1,1,0,100,0.201184723,3.7791197,4.99063155,NA,1,BCL2_3.PDGFR_Ab
HCC1419,BCL2_3,PDGFR_Ab,10,1,1,0,100,0.115387231,1.621048,0,NA,1,BCL2_3.PDGFR_Ab
HCC1500,BCL2_3,PDGFR_Ab,10,1,0.185154251,10,90.08569392,0.162885546,5.1190741,0,NA,1,BCL2_3.PDGFR_Ab
MCF7,BCL2_3,PDGFR_Ab,10,1,1,0,100,0.071187347,3.4536453,3.1901715,NA,1,BCL2_3.PDGFR_Ab
MDA-MB-361,BCL2_3,PDGFR_Ab,10,1,1,0,100,0.323455096,10,10.99884467,NA,1,BCL2_3.PDGFR_Ab
T47D,BCL2_3,PDGFR_Ab,10,1,10,0.1628813,89.85225896,0.31810735,2.1668907,8.76775127,NA,1,BCL2_3.PDGFR_Ab
UACC-812,BCL2_3,PDGFR_Ab,10,1,0.001,0.1,93.4766452,0.113691889,10,0,NA,1,BCL2_3.PDGFR_Ab
BT-474,BRAF_2,PDGFR_Ab,10,1,1.057183697,10,88.74988068,1,0,100,NA,1,BRAF_2.PDGFR_Ab
HCC1419,BRAF_2,PDGFR_Ab,10,1,1,0,100,1,0,100,NA,1,BRAF_2.PDGFR_Ab
HCC1500,BRAF_2,PDGFR_Ab,10,1,1,0,100,0.293167456,10,93.89992037,NA,1,BRAF_2.PDGFR_Ab
MCF7,BRAF_2,PDGFR_Ab,10,1,1,0,100,1,0,100,NA,1,BRAF_2.PDGFR_Ab
MDA-MB-361,BRAF_2,PDGFR_Ab,10,1,2.720326056,10,94.49906467,1,0,100,NA,1,BRAF_2.PDGFR_Ab
T47D,BRAF_2,PDGFR_Ab,10,1,1,0,100,1,0,100,NA,1,BRAF_2.PDGFR_Ab
UACC-812,BRAF_2,PDGFR_Ab,10,1,1,0,100,1,0,100,NA,1,BRAF_2.PDGFR_Ab
BT-474,FNTA_FNTB,PDGFR_Ab,10,1,1.592498442,10,93.70155883,1,0.5894058,47.57254156,NA,1,FNTA_FNTB.PDGFR_Ab
HCC1419,FNTA_FNTB,PDGFR_Ab,10,1,0.247688282,10,89.79821295,0.931161512,0.4582262,54.63947799,NA,1,FNTA_FNTB.PDGFR_Ab
HCC1500,FNTA_FNTB,PDGFR_Ab,10,1,10,0.3367871,53.41191389,0.138237638,0.8429524,0,NA,1,FNTA_FNTB.PDGFR_Ab
MCF7,FNTA_FNTB,PDGFR_Ab,10,1,1,0,100,0.065634706,2.3384016,29.16893162,NA,1,FNTA_FNTB.PDGFR_Ab
MDA-MB-175-VII,FNTA_FNTB,PDGFR_Ab,10,1,1,0,100,0.271573071,10,78.49949416,NA,1,FNTA_FNTB.PDGFR_Ab
MDA-MB-361,FNTA_FNTB,PDGFR_Ab,10,1,1,0,100,0.236477733,10,93.89190307,NA,1,FNTA_FNTB.PDGFR_Ab
T47D,FNTA_FNTB,PDGFR_Ab,10,1,1,0,100,0.290638548,10,82.199668,NA,1,FNTA_FNTB.PDGFR_Ab
UACC-812,FNTA_FNTB,PDGFR_Ab,10,1,1,0,100,0.184373341,3.3696345,8.53412136,NA,1,FNTA_FNTB.PDGFR_Ab
BT-474,PDGFR_Ab,PIK3C_MTOR,1,10,0.131963111,1.6060059,0,1,0,100,NA,1,PDGFR_Ab.PIK3C_MTOR
CAMA-1,PDGFR_Ab,PIK3C_MTOR,1,10,0.139534749,1.9309132,23.38357431,0.558892542,0.2844457,85.07661797,NA,1,PDGFR_Ab.PIK3C_MTOR
HCC1500,PDGFR_Ab,PIK3C_MTOR,1,10,0.046473804,1.2936227,0,10,0.4436905,51.44971355,NA,1,PDGFR_Ab.PIK3C_MTOR
MCF7,PDGFR_Ab,PIK3C_MTOR,1,10,0.069350112,1.8216558,1.65917303,10,1.9117822,93.26291687,NA,1,PDGFR_Ab.PIK3C_MTOR
MDA-MB-361,PDGFR_Ab,PIK3C_MTOR,1,10,0.113585016,1.2459866,6.75654699,1,0,100,NA,1,PDGFR_Ab.PIK3C_MTOR
T47D,PDGFR_Ab,PIK3C_MTOR,1,10,0.466860893,0.556448,4.43051445,1,0,100,NA,1,PDGFR_Ab.PIK3C_MTOR
UACC-812,PDGFR_Ab,PIK3C_MTOR,1,10,0.278250254,10,15.99942277,0.001,0.1,90.78363691,NA,1,PDGFR_Ab.PIK3C_MTOR
BT-474,PDGFR_Ab,TKI_2,1,10,1,0,100,10,10,81.00008978,NA,1,PDGFR_Ab.TKI_2
HCC1500,PDGFR_Ab,TKI_2,1,10,0.391459868,2.2124576,72.08076553,0.095995474,10,93.17503586,NA,1,PDGFR_Ab.TKI_2
MCF7,PDGFR_Ab,TKI_2,1,10,1,0.2357483,90.48614767,2.096172557,2.4884877,91.83284673,NA,1,PDGFR_Ab.TKI_2
MDA-MB-361,PDGFR_Ab,TKI_2,1,10,1,0,100,1,0,100,NA,1,PDGFR_Ab.TKI_2
T47D,PDGFR_Ab,TKI_2,1,10,0.257928394,1.8162063,93.0026873,10,10,93.80000942,NA,1,PDGFR_Ab.TKI_2
UACC-812,PDGFR_Ab,TKI_2,1,10,1,0,100,10,10,81.60014419,NA,1,PDGFR_Ab.TKI_2
A549,Doxorubicin,PIK3C,3,0.1,3,1.0999803,13.03670093,0.035988345,10,24.69725501,NA,1,Doxorubicin.PIK3C
Calu-3,Doxorubicin,PIK3C,3,0.01,3,10,42.60024401,0.01,1.8326528,23.89773309,NA,1,Doxorubicin.PIK3C
Calu-6,Doxorubicin,PIK3C,3,0.3,3,0.4586122,62.45602639,0.038272317,1.9276889,26.65727125,NA,1,Doxorubicin.PIK3C
DMS-114,Doxorubicin,PIK3C,3,0.1,1.552777661,0.9383772,0,0.028817414,1.5051599,0.57632987,NA,1,Doxorubicin.PIK3C
NCI-H1299,Doxorubicin,PIK3C,3,0.3,0.92755336,1.3108938,31.58171762,0.055197631,2.4782627,15.3509934,NA,1,Doxorubicin.PIK3C
NCI-H1437,Doxorubicin,PIK3C,3,0.3,3,0.4102304,8.40661736,0.031976857,2.0741544,8.07798518,NA,1,Doxorubicin.PIK3C
NCI-H1563,Doxorubicin,PIK3C,3,0.03,2.841491769,0.5158224,0,0.008661768,1.083713,0,NA,1,Doxorubicin.PIK3C
NCI-H1703,Doxorubicin,PIK3C,1,0.1,0.210073345,0.9978385,16.01715005,0.024781858,2.4954649,15.06649192,NA,1,Doxorubicin.PIK3C
NCI-H1793,Doxorubicin,PIK3C,3,0.1,0.592736346,1.0434884,5.88253723,0.049101248,3.3795497,30.21626499,NA,1,Doxorubicin.PIK3C
NCI-H1975,Doxorubicin,PIK3C,3,0.1,0.45143457,1.3383407,17.20601289,0.028217993,10,33.99978289,NA,1,Doxorubicin.PIK3C
NCI-H2085,Doxorubicin,PIK3C,3,0.3,0.516280649,0.8404326,0.46424966,0.040724387,1.1145285,24.55660583,NA,1,Doxorubicin.PIK3C
NCI-H2170,Doxorubicin,PIK3C,3,0.1,0.346945292,1.0899158,35.1438044,0.1,0.5392611,15.23562425,NA,1,Doxorubicin.PIK3C
NCI-H2228,Doxorubicin,PIK3C,1,0.1,0.441358131,0.4041117,0,0.034467209,0.6219133,0,NA,1,Doxorubicin.PIK3C
NCI-H226,Doxorubicin,PIK3C,3,0.03,1.526542382,0.8014452,0,0.008471929,1.1943745,0,NA,1,Doxorubicin.PIK3C
NCI-H2291,Doxorubicin,PIK3C,3,0.1,2.104404366,0.578009,0,0.023685527,1.4462519,36.24889024,NA,1,Doxorubicin.PIK3C
NCI-H23,Doxorubicin,PIK3C,3,0.1,0.874124457,0.5926165,0,0.012688644,1.2302795,8.20581757,NA,1,Doxorubicin.PIK3C
NCI-H3122,Doxorubicin,PIK3C,1,0.1,0.3122303,4.4903852,53.65248928,0.015580478,1.7870048,2.09292889,NA,1,Doxorubicin.PIK3C
NCI-H358,Doxorubicin,PIK3C,3,0.1,3,0.6726173,37.02148446,0.025515979,2.1774991,22.29935765,NA,1,Doxorubicin.PIK3C
NCI-H520,Doxorubicin,PIK3C,1,0.1,0.337365126,1.9434115,30.2131734,0.1,1.3599679,31.76700045,NA,1,Doxorubicin.PIK3C
NCI-H522,Doxorubicin,PIK3C,3,0.1,2.850924755,0.4542743,4.53872255,0.019552227,1.3734815,2.02488727,NA,1,Doxorubicin.PIK3C
NCI-H838,Doxorubicin,PIK3C,3,0.1,0.884461257,0.8993424,0,0.022433377,3.1011001,7.50374622,NA,1,Doxorubicin.PIK3C
SW900,Doxorubicin,PIK3C,3,0.1,0.573362058,0.8297591,21.22164207,0.017635751,1.690696,19.81879411,NA,1,Doxorubicin.PIK3C
647-V,EG5,PIK3C,3,0.003,0.862132828,1.8393816,50.25542773,0.002480651,10,0,NA,1,EG5.PIK3C
BFTC-905,EG5,PIK3C,3,0.003,0.588433437,1.0316177,23.12695366,0.001342985,10,23.6753379,NA,1,EG5.PIK3C
HT-1197,EG5,PIK3C,3,3,0.317014951,10,70.99974102,3e-04,0.1,46.248488,NA,1,EG5.PIK3C
HT-1376,EG5,PIK3C,3,0.1,1.016077727,0.7140633,0,0.001728801,3.0234509,28.65347531,NA,1,EG5.PIK3C
J82,EG5,PIK3C,3,3,1.127847302,0.9544999,15.09404537,3e-04,0.1009802,0,NA,1,EG5.PIK3C
SW780,EG5,PIK3C,3,0.003,3,10,77.60050136,0.003,10,90.00004743,NA,1,EG5.PIK3C
T-24,EG5,PIK3C,3,3,1.037640896,10,56.19890347,0.000321311,0.9507201,0.50988846,NA,1,EG5.PIK3C
TCCSUP,EG5,PIK3C,1,0.003,0.336146836,3.2635921,55.87947636,0.002804969,10,0,NA,1,EG5.PIK3C
UM-UC-3,EG5,PIK3C,3,0.003,1.569710085,1.6325336,26.42048219,0.002114461,2.2025124,75.71859361,NA,1,EG5.PIK3C
VM-CUB-1,EG5,PIK3C,3,0.003,2.552308088,2.3161182,0,0.003,10,88.40011518,NA,1,EG5.PIK3C
647-V,ERBB,PIK3C,3,0.1,1.139394723,3.1355531,58.39350123,0.1,1.4374259,71.74779399,NA,1,ERBB.PIK3C
BFTC-905,ERBB,PIK3C,3,3,2.405274743,0.8915496,0,1,0,100,NA,1,ERBB.PIK3C
HT-1197,ERBB,PIK3C,3,3,0.754767454,1.16178,38.92398615,1.600831565,0.9790643,82.74921032,NA,1,ERBB.PIK3C
HT-1376,ERBB,PIK3C,3,1,1.15011891,1.2028918,22.0824831,0.095814449,1.6008257,56.87668437,NA,1,ERBB.PIK3C
J82,ERBB,PIK3C,3,3,1.840092784,0.6124554,0,3e-04,0.1,84.08456,NA,1,ERBB.PIK3C
T-24,ERBB,PIK3C,3,3,1.059655975,10,48.19842296,3,1.0818538,54.98371206,NA,1,ERBB.PIK3C
TCCSUP,ERBB,PIK3C,1,3,0.441178643,1.6315301,44.71596725,3,1.7377625,82.0471745,NA,1,ERBB.PIK3C
UM-UC-3,ERBB,PIK3C,3,3,1.084519286,3.6383549,49.38113503,3,1.6145016,63.79353011,NA,1,ERBB.PIK3C
VM-CUB-1,ERBB,PIK3C,3,3,3,1.7398872,27.20216002,0.150372634,1.0038503,81.05986954,NA,1,ERBB.PIK3C
647-V,FGFR,PIK3C,3,3,1.120219766,1.5950544,42.86901112,1,0,100,NA,1,FGFR.PIK3C
BFTC-905,FGFR,PIK3C,3,3,1.381746997,0.6710726,0,3,2.632854,49.00722985,NA,1,FGFR.PIK3C
HT-1376,FGFR,PIK3C,3,3,0.846007357,0.875953,17.56581004,3,2.1487601,37.95531201,NA,1,FGFR.PIK3C
J82,FGFR,PIK3C,3,3,0.637360244,0.8308508,28.89163662,0.103144362,1.1905204,66.73829836,NA,1,FGFR.PIK3C
SW780,FGFR,PIK3C,3,3,3,10,75.40063009,3,10,67.00081285,NA,1,FGFR.PIK3C
T-24,FGFR,PIK3C,3,3,1.004551421,10,60.29923607,3e-04,0.1,94.05030698,NA,1,FGFR.PIK3C
TCCSUP,FGFR,PIK3C,1,3,0.510665851,1.4235217,37.28480128,0.032299886,1.7271669,58.4877577,NA,1,FGFR.PIK3C
UM-UC-3,FGFR,PIK3C,3,3,1.195578695,1.8943397,34.21644765,1,0,100,NA,1,FGFR.PIK3C
A549,PIK3C,Topotecan,0.3,3,0.14954623,2.8275035,0,1.403252005,1.2897249,38.4103464,NA,1,PIK3C.Topotecan
Calu-3,PIK3C,Topotecan,0.1,3,0.088708074,0.9261514,0,3,10,19.60013569,NA,1,PIK3C.Topotecan
Calu-6,PIK3C,Topotecan,0.1,3,0.039440292,2.1988167,26.59408923,3,1.0835142,68.45279327,NA,1,PIK3C.Topotecan
DMS-114,PIK3C,Topotecan,0.1,3,0.037859025,1.6662183,0,1.152234385,1.0764799,10.47554159,NA,1,PIK3C.Topotecan
NCI-H1299,PIK3C,Topotecan,0.1,3,0.01643785,2.7932209,28.43061247,1.092635124,0.9587792,14.58721948,NA,1,PIK3C.Topotecan
NCI-H1437,PIK3C,Topotecan,0.1,3,0.061636339,1.7104331,0,1.098949939,0.6951766,18.28904405,NA,1,PIK3C.Topotecan
NCI-H1563,PIK3C,Topotecan,0.1,3,0.030309621,2.12448,9.62317564,1.063239892,9.7054796,44.29656568,NA,1,PIK3C.Topotecan
NCI-H1703,PIK3C,Topotecan,0.1,1,0.064573536,2.4207718,0,0.149368982,1.1149829,21.52452349,NA,1,PIK3C.Topotecan
NCI-H1793,PIK3C,Topotecan,0.3,3,0.23703287,1.8165417,0,0.75859145,0.9303684,0,NA,1,PIK3C.Topotecan
NCI-H1975,PIK3C,Topotecan,1,3,0.164541054,3.6905355,27.27139826,0.463386604,1.3757802,15.84584977,NA,1,PIK3C.Topotecan
NCI-H2085,PIK3C,Topotecan,1,3,0.345759531,0.5805119,0,0.292750447,1.0871452,12.53270431,NA,1,PIK3C.Topotecan
NCI-H2170,PIK3C,Topotecan,0.1,3,0.06763792,2.7322846,0,0.56890945,1.4863998,33.13162184,NA,1,PIK3C.Topotecan
NCI-H2228,PIK3C,Topotecan,0.1,1,0.042512723,3.9572107,29.38583405,0.241469518,1.8288045,40.17416247,NA,1,PIK3C.Topotecan
NCI-H226,PIK3C,Topotecan,0.3,3,0.042361318,0.9001064,0,0.608697607,2.0427112,35.74343342,NA,1,PIK3C.Topotecan
NCI-H2291,PIK3C,Topotecan,0.3,3,0.3,0.6861446,12.31181154,1.520068267,0.9418486,29.46221843,NA,1,PIK3C.Topotecan
NCI-H23,PIK3C,Topotecan,0.1,3,0.1,0.6024694,18.03972136,0.681779826,0.884778,9.09616525,NA,1,PIK3C.Topotecan
NCI-H3122,PIK3C,Topotecan,0.1,1,0.02900434,2.1522613,0,0.391235879,2.0468011,37.30945521,NA,1,PIK3C.Topotecan
NCI-H358,PIK3C,Topotecan,0.1,3,0.030622699,1.6622802,23.48373848,0.556371162,1.5322618,44.16316901,NA,1,PIK3C.Topotecan
NCI-H520,PIK3C,Topotecan,0.03,1,0.028361061,1.2559339,0,0.269634809,2.5887641,35.09216469,NA,1,PIK3C.Topotecan
NCI-H522,PIK3C,Topotecan,0.01,3,0.01,1.1596189,12.49853108,3,0.6429819,9.09603785,NA,1,PIK3C.Topotecan
NCI-H838,PIK3C,Topotecan,0.3,3,0.067918003,1.5491443,0,0.818412715,0.8527012,0,NA,1,PIK3C.Topotecan
SW900,PIK3C,Topotecan,0.1,3,0.042275479,1.9076641,35.44376287,0.752225725,0.9637931,18.57581373,NA,1,PIK3C.Topotecan
BT-20,MTOR_1,PIK3C_2,1,1,0.403081753,1.8327859,17.91250128,0.338321656,1.0083204,8.61389696,NA,1,MTOR_1.PIK3C_2
BT-549,MTOR_1,PIK3C_2,1,1,0.418362715,2.1876112,21.54261037,0.282749658,1.125348,10.29351085,NA,1,MTOR_1.PIK3C_2
CAL-120,MTOR_1,PIK3C_2,1,1,0.331175529,10,64.5994244,0.205169361,2.2668165,37.55582991,NA,1,MTOR_1.PIK3C_2
CAL-148,MTOR_1,PIK3C_2,1,1,0.316173946,10,77.3997228,0.134672466,2.1914814,75.04834013,NA,1,MTOR_1.PIK3C_2
CAL-51,MTOR_1,PIK3C_2,1,1,0.623428065,2.3691597,0,0.342041397,1.0457258,0,NA,1,MTOR_1.PIK3C_2
CAMA-1,MTOR_1,PIK3C_2,1,1,1,1.6764647,5.74144536,0.469329249,1.253132,0,NA,1,MTOR_1.PIK3C_2
DU-4475,MTOR_1,PIK3C_2,1,1,0.210291027,1.448537,0,0.113458214,0.6751666,0,NA,1,MTOR_1.PIK3C_2
HCC1143,MTOR_1,PIK3C_2,1,1,0.991858534,1.8988517,0,0.462534675,0.7316078,11.10798102,NA,1,MTOR_1.PIK3C_2
HCC1187,MTOR_1,PIK3C_2,1,1,0.350360775,3.2746411,17.73049706,0.257999152,10,12.79978003,NA,1,MTOR_1.PIK3C_2
HCC1395,MTOR_1,PIK3C_2,1,1,0.893833264,1.3433046,0,0.559308984,0.6923873,0,NA,1,MTOR_1.PIK3C_2
HCC1428,MTOR_1,PIK3C_2,1,1,0.296390958,10,42.09968412,1,0.8739392,12.2865518,NA,1,MTOR_1.PIK3C_2
HCC1806,MTOR_1,PIK3C_2,1,1,0.320665097,10,11.59895735,0.16971871,1.493185,5.70215483,NA,1,MTOR_1.PIK3C_2
HCC1937,MTOR_1,PIK3C_2,1,1,1,0.7802982,37.33867692,1,0.6530409,47.4532642,NA,1,MTOR_1.PIK3C_2
HCC38,MTOR_1,PIK3C_2,1,1,0.437758653,10,46.28612198,0.342807536,10,78.89952196,NA,1,MTOR_1.PIK3C_2
HCC70,MTOR_1,PIK3C_2,1,1,1,0,100,0.375817394,10,67.39816336,NA,1,MTOR_1.PIK3C_2
Hs-578-T,MTOR_1,PIK3C_2,1,1,0.633887717,1.2192739,0,0.245613455,1.0594202,8.96478246,NA,1,MTOR_1.PIK3C_2
MDA-MB-157,MTOR_1,PIK3C_2,1,1,0.600654635,0.8637192,21.02239925,0.797797778,0.5193567,0,NA,1,MTOR_1.PIK3C_2
MDA-MB-231,MTOR_1,PIK3C_2,1,1,0.344315931,10,56.29897462,0.422434281,0.9758078,26.33062875,NA,1,MTOR_1.PIK3C_2
MDA-MB-436,MTOR_1,PIK3C_2,1,1,0.393446754,3.5258212,45.95745052,0.109722299,1.6391033,27.12937062,NA,1,MTOR_1.PIK3C_2
MDA-MB-453,MTOR_1,PIK3C_2,1,1,0.328389044,1.6464637,0,0.227367843,6.3030479,10.99215979,NA,1,MTOR_1.PIK3C_2
MDA-MB-468,MTOR_1,PIK3C_2,1,1,0.341128364,10,59.39912657,1,0.6594066,52.9392056,NA,1,MTOR_1.PIK3C_2
MFM-223,MTOR_1,PIK3C_2,1,1,0.48642568,1.8919202,0,0.208531631,1.0965244,9.94651477,NA,1,MTOR_1.PIK3C_2
M14,MTOR_1,PIK3C_2,1,1,0.352862932,10,55.09864364,0.321990094,2.9683386,54.0571385,NA,1,MTOR_1.PIK3C_2
BT-20,PIK3C,PIK3CA_4,1,1,0.33647184,0.6723022,45.98374646,0.746177354,0.6015101,0,NA,1,PIK3C.PIK3CA_4
BT-549,PIK3C,PIK3CA_4,1,1,1e-04,0.1,78.13992017,0.46732335,1.0089428,0,NA,1,PIK3C.PIK3CA_4
CAL-120,PIK3C,PIK3CA_4,1,1,1,0.4098094,64.00843949,0.243026747,0.7995978,50.65925221,NA,1,PIK3C.PIK3CA_4
CAL-148,PIK3C,PIK3CA_4,1,1,0.390373036,2.0798324,47.51865254,0.933038862,1.0318232,0,NA,1,PIK3C.PIK3CA_4
CAL-51,PIK3C,PIK3CA_4,1,1,0.471232025,1.3074681,39.49888365,0.326497584,2.6322323,42.5216014,NA,1,PIK3C.PIK3CA_4
CAMA-1,PIK3C,PIK3CA_4,1,1,1,0,100,0.440512888,2.7368904,47.90377563,NA,1,PIK3C.PIK3CA_4
DU-4475,PIK3C,PIK3CA_4,1,1,0.300002025,10,37.59943843,0.149610016,1.2987812,0,NA,1,PIK3C.PIK3CA_4
HCC1143,PIK3C,PIK3CA_4,1,1,1,0.4719907,49.25996353,0.600013932,0.6351417,21.22859387,NA,1,PIK3C.PIK3CA_4
HCC1187,PIK3C,PIK3CA_4,1,1,0.527726607,0.729792,14.92850447,0.290501303,1.0801815,3.07324028,NA,1,PIK3C.PIK3CA_4
HCC1395,PIK3C,PIK3CA_4,1,1,1,2.0693106,86.80078234,0.797584854,1.0562296,0,NA,1,PIK3C.PIK3CA_4
HCC1428,PIK3C,PIK3CA_4,1,1,1,0,100,0.293890873,10,84.39982279,NA,1,PIK3C.PIK3CA_4
HCC1806,PIK3C,PIK3CA_4,1,1,0.324612163,10,64.79953537,0.312897605,2.1975492,8.5543863,NA,1,PIK3C.PIK3CA_4
HCC1937,PIK3C,PIK3CA_4,1,1,0.30498714,0.900115,88.51790897,1,0.7345015,32.84941724,NA,1,PIK3C.PIK3CA_4
HCC38,PIK3C,PIK3CA_4,1,1,1,0,100,0.30079631,10,69.7998088,NA,1,PIK3C.PIK3CA_4
Hs-578-T,PIK3C,PIK3CA_4,1,1,1,10,72.400045,0.22668599,2.0844434,40.12194032,NA,1,PIK3C.PIK3CA_4
MDA-MB-157,PIK3C,PIK3CA_4,1,1,1,0.2271362,69.70313869,1,0.3750135,20.42376299,NA,1,PIK3C.PIK3CA_4
MDA-MB-231,PIK3C,PIK3CA_4,1,1,0.187776716,10,90.56183541,0.326949331,0.8042694,54.74757141,NA,1,PIK3C.PIK3CA_4
MDA-MB-436,PIK3C,PIK3CA_4,1,1,1,0,100,0.289390473,3.4378158,51.0207573,NA,1,PIK3C.PIK3CA_4
