BTG2	SESN1
NRAS	RTDR1
HRAS	OTOF
KRAS	OTOF
NRAS	OTOF
HRAS	LOC441086
KRAS	LOC441086
LOC441086	NRAS
HRAS	PKD2L1
KRAS	PKD2L1
NRAS	PKD2L1
DOCK10	HRAS
DOCK10	KRAS
DOCK10	NRAS
HRAS	ITM2A
ITM2A	KRAS
ITM2A	NRAS
EIF4G2	HRAS
EIF4G2	KRAS
EIF4G2	NRAS
HRAS	IL10RA
IL10RA	KRAS
IL10RA	NRAS
CNGA2	HRAS
CNGA2	KRAS
CNGA2	NRAS
HRAS	STARD10
KRAS	STARD10
NRAS	STARD10
DRAM	HRAS
DRAM	KRAS
DRAM	NRAS
HRAS	LOC283194
KRAS	LOC283194
LOC283194	NRAS
HRAS	RBBP6
KRAS	RBBP6
NRAS	RBBP6
HRAS	MYLPF
KRAS	MYLPF
MYLPF	NRAS
HRAS	KLF3
KLF3	KRAS
KLF3	NRAS
HRAS	LTBP2
KRAS	LTBP2
LTBP2	NRAS
HRAS	KCNG4
KCNG4	KRAS
KCNG4	NRAS
HRAS	PLEKHC1
KRAS	PLEKHC1
NRAS	PLEKHC1
ARPC5L	HRAS
ARPC5L	KRAS
ARPC5L	NRAS
HRAS	LOC284898
KRAS	LOC284898
LOC284898	NRAS
ADFP	HRAS
ADFP	KRAS
ADFP	NRAS
HRAS	SCAMP3
KRAS	SCAMP3
NRAS	SCAMP3
DNAJC6	HRAS
DNAJC6	KRAS
DNAJC6	NRAS
HRAS	LRRTM2
KRAS	LRRTM2
LRRTM2	NRAS
HRAS	UBAC2
KRAS	UBAC2
NRAS	UBAC2
HRAS	LOC132430
KRAS	LOC132430
LOC132430	NRAS
HRAS	TMEM49
KRAS	TMEM49
NRAS	TMEM49
HRAS	NCOR1
KRAS	NCOR1
NCOR1	NRAS
HRAS	OR1F1
KRAS	OR1F1
NRAS	OR1F1
CDC5L	HRAS
CDC5L	KRAS
CDC5L	NRAS
HRAS	TMED8
KRAS	TMED8
NRAS	TMED8
HRAS	KCNJ3
KCNJ3	KRAS
KCNJ3	NRAS
HRAS	RFC3
KRAS	RFC3
NRAS	RFC3
FOXR1	HRAS
FOXR1	KRAS
FOXR1	NRAS
HRAS	PARP12
KRAS	PARP12
NRAS	PARP12
ATOH1	HRAS
ATOH1	KRAS
ATOH1	NRAS
DVL3	HRAS
DVL3	KRAS
DVL3	NRAS
HRAS	IL24
IL24	KRAS
IL24	NRAS
ARPC4	HRAS
ARPC4	KRAS
ARPC4	NRAS
FMR1NB	HRAS
FMR1NB	KRAS
FMR1NB	NRAS
ASB7	HRAS
ASB7	KRAS
ASB7	NRAS
FLJ90680	HRAS
FLJ90680	KRAS
FLJ90680	NRAS
HRAS	KIAA0495
KIAA0495	KRAS
KIAA0495	NRAS
HRAS	SYPL2
KRAS	SYPL2
NRAS	SYPL2
HRAS	PLB1
KRAS	PLB1
NRAS	PLB1
HRAS	KIAA1843
KIAA1843	KRAS
KIAA1843	NRAS
BFAR	HRAS
BFAR	KRAS
BFAR	NRAS
HRAS	LOC219690
KRAS	LOC219690
LOC219690	NRAS
AHCY	HRAS
AHCY	KRAS
AHCY	NRAS
HRAS	SLC7A5
KRAS	SLC7A5
NRAS	SLC7A5
HRAS	MYH15
KRAS	MYH15
MYH15	NRAS
HRAS	MUT
KRAS	MUT
MUT	NRAS
HRAS	MTBP
KRAS	MTBP
MTBP	NRAS
HRAS	TXNL4A
KRAS	TXNL4A
NRAS	TXNL4A
C3ORF55	HRAS
C3ORF55	KRAS
C3ORF55	NRAS
HRAS	TSSK1B
KRAS	TSSK1B
NRAS	TSSK1B
CSN1S1	HRAS
CSN1S1	KRAS
CSN1S1	NRAS
CCDC82	HRAS
CCDC82	KRAS
CCDC82	NRAS
HRAS	IL22RA2
IL22RA2	KRAS
IL22RA2	NRAS
DNAJC5G	HRAS
DNAJC5G	KRAS
DNAJC5G	NRAS
COL24A1	HRAS
COL24A1	KRAS
COL24A1	NRAS
GPR182	HRAS
GPR182	KRAS
GPR182	NRAS
HRAS	SLC7A3
KRAS	SLC7A3
NRAS	SLC7A3
HRAS	MAGOH
KRAS	MAGOH
MAGOH	NRAS
ALB	MAPK11
MAPK11	ORM1
CYP3A4	MAPK11
CYP3A5	MAPK11
CYP3A7	MAPK11
CYP1A2	MAPK11
CYP2C9	MAPK11
CYP2D6	MAPK11
CYP2C19	MAPK11
MAPK11	PTGS1
BCR/ABL fusion	MAPK11
KIT	MAPK11
MAPK11	RET
MAPK11	NTRK1
CSF1R	MAPK11
MAPK11	PDGFRA
DDR1	MAPK11
ABL1	MAPK11
MAPK11	PDGFRB
MAPK11	SLC22A1
ABCB1	MAPK11
MAPK11	SLC22A2
ABCG2	MAPK11
ABCA3	MAPK11
ABCD4	MYC
CDA	MAP4K5
DCK	MAP4K5
MAP4K5	RRM1
MAP4K5	TYMS
CMPK1	MAP4K5
ABCB1	MAP4K5
ABCC10	MAP4K5
MAP4K5	SLC29A1
MAP4K5	SLC28A1
MAP4K5	SLC29A2
HRAS	SHFM1
KRAS	SHFM1
NRAS	SHFM1
FABP3	HRAS
FABP3	KRAS
FABP3	NRAS
HRAS	TAF15
KRAS	TAF15
NRAS	TAF15
CDC27	HRAS
CDC27	NRAS
HRAS	KCNMA1
KCNMA1	KRAS
KCNMA1	NRAS
DUSP2	HRAS
DUSP2	KRAS
DUSP2	NRAS
FANCD2	HRAS
FANCD2	KRAS
FANCD2	NRAS
HRAS	MPHOSPH10
KRAS	MPHOSPH10
MPHOSPH10	NRAS
HRAS	NLRC4
KRAS	NLRC4
NLRC4	NRAS
HRAS	MDH2
KRAS	MDH2
MDH2	NRAS
CNPY3	HRAS
CNPY3	KRAS
CNPY3	NRAS
HRAS	RAC1
KRAS	RAC1
NRAS	RAC1
HRAS	MRPL23
KRAS	MRPL23
MRPL23	NRAS
HRAS	PPIL1
KRAS	PPIL1
NRAS	PPIL1
HRAS	ZNF570
KRAS	ZNF570
NRAS	ZNF570
HRAS	RAPGEF2
KRAS	RAPGEF2
NRAS	RAPGEF2
C13orf28	HRAS
C13orf28	KRAS
C13orf28	NRAS
HRAS	USP9X
KRAS	USP9X
NRAS	USP9X
HRAS	PINK1
KRAS	PINK1
NRAS	PINK1
ASCC3	HRAS
ASCC3	KRAS
ASCC3	NRAS
HRAS	HSPC111
HSPC111	KRAS
HSPC111	NRAS
FLYWCH1	HRAS
FLYWCH1	KRAS
FLYWCH1	NRAS
HRAS	SGK269
KRAS	SGK269
NRAS	SGK269
HRAS	SEMA4F
KRAS	SEMA4F
NRAS	SEMA4F
HRAS	LOC286495
KRAS	LOC286495
LOC286495	NRAS
HRAS	SERINC1
KRAS	SERINC1
NRAS	SERINC1
HRAS	TEAD2
KRAS	TEAD2
NRAS	TEAD2
HRAS	KLRD1
KLRD1	KRAS
KLRD1	NRAS
HRAS	ZCCHC13
KRAS	ZCCHC13
NRAS	ZCCHC13
HRAS	MMEL1
KRAS	MMEL1
MMEL1	NRAS
CASC5	HRAS
CASC5	NRAS
HRAS	TTC7B
KRAS	TTC7B
NRAS	TTC7B
HRAS	MAP4
KRAS	MAP4
MAP4	NRAS
HRAS	STT3A
KRAS	STT3A
NRAS	STT3A
G6PC2	HRAS
G6PC2	KRAS
G6PC2	NRAS
HRAS	TFB2M
KRAS	TFB2M
NRAS	TFB2M
HRAS	LOC441005
KRAS	LOC441005
LOC441005	NRAS
HOXC11	HRAS
HOXC11	KRAS
HOXC11	NRAS
GIMAP2	HRAS
GIMAP2	KRAS
GIMAP2	NRAS
HRAS	TNRC6C
KRAS	TNRC6C
NRAS	TNRC6C
HRAS	ZNF579
KRAS	ZNF579
NRAS	ZNF579
DCLRE1A	HRAS
DCLRE1A	KRAS
DCLRE1A	NRAS
GCM2	HRAS
GCM2	KRAS
GCM2	NRAS
CPNE4	HRAS
CPNE4	KRAS
CPNE4	NRAS
GNL3L	HRAS
GNL3L	KRAS
GNL3L	NRAS
GNS	HRAS
GNS	KRAS
GNS	NRAS
HRAS	UCRC
KRAS	UCRC
NRAS	UCRC
A2ML1	HRAS
A2ML1	KRAS
A2ML1	NRAS
ARD1A	HRAS
ARD1A	KRAS
ARD1A	NRAS
HRAS	ZNF701
KRAS	ZNF701
NRAS	ZNF701
HRAS	ZGPAT
KRAS	ZGPAT
NRAS	ZGPAT
HRAS	SLC22A3
KRAS	SLC22A3
NRAS	SLC22A3
HRAS	PRICKLE4
KRAS	PRICKLE4
NRAS	PRICKLE4
HRAS	PSMA1
KRAS	PSMA1
NRAS	PSMA1
HRAS	OR5M9
KRAS	OR5M9
NRAS	OR5M9
HRAS	LYK5
KRAS	LYK5
LYK5	NRAS
HRAS	TMEM30B
KRAS	TMEM30B
NRAS	TMEM30B
HRAS	KCMF1
KCMF1	KRAS
KCMF1	NRAS
DDX43	HRAS
DDX43	KRAS
DDX43	NRAS
ADAMTSL5	HRAS
ADAMTSL5	KRAS
ADAMTSL5	NRAS
FRMPD1	HRAS
FRMPD1	KRAS
FRMPD1	NRAS
HRAS	PCID2
KRAS	PCID2
NRAS	PCID2
CTTNBP2NL	HRAS
CTTNBP2NL	KRAS
CTTNBP2NL	NRAS
HRAS	PROM1
KRAS	PROM1
NRAS	PROM1
HRAS	KCNG3
KCNG3	KRAS
KCNG3	NRAS
HNRPM	HRAS
HNRPM	KRAS
HNRPM	NRAS
HRAS	LOC339799
KRAS	LOC339799
LOC339799	NRAS
CXCL16	HRAS
CXCL16	KRAS
CXCL16	NRAS
ABI3	HRAS
ABI3	KRAS
ABI3	NRAS
C12orf56	HRAS
C12orf56	KRAS
C12orf56	NRAS
HRAS	WDR37
KRAS	WDR37
NRAS	WDR37
CLU	HRAS
CLU	KRAS
CLU	NRAS
GALNTL2	HRAS
GALNTL2	KRAS
GALNTL2	NRAS
HRAS	NET1
KRAS	NET1
NET1	NRAS
HRAS	MATN2
KRAS	MATN2
MATN2	NRAS
HRAS	TBC1D1
KRAS	TBC1D1
NRAS	TBC1D1
ANKFN1	HRAS
ANKFN1	KRAS
ANKFN1	NRAS
HNRNPC	HRAS
HNRNPC	KRAS
HNRNPC	NRAS
HLA-DOB	HRAS
HLA-DOB	KRAS
HLA-DOB	NRAS
HRAS	SLC11A2
KRAS	SLC11A2
NRAS	SLC11A2
GPATCH1	HRAS
GPATCH1	KRAS
GPATCH1	NRAS
HRAS	RPP38
KRAS	RPP38
NRAS	RPP38
C21ORF67	HRAS
C21ORF67	KRAS
C21ORF67	NRAS
EPHB1	HRAS
EPHB1	KRAS
EPHB1	NRAS
HRAS	PRKCSH
KRAS	PRKCSH
NRAS	PRKCSH
HRAS	RPL7AL3
KRAS	RPL7AL3
NRAS	RPL7AL3
CRABP1	HRAS
CRABP1	KRAS
CRABP1	NRAS
HRAS	U2AF1
KRAS	U2AF1
NRAS	U2AF1
HRAS	MRPL39
KRAS	MRPL39
MRPL39	NRAS
HRAS	LOC284379
KRAS	LOC284379
LOC284379	NRAS
HRAS	HSPC105
HSPC105	KRAS
HSPC105	NRAS
HRAS	OR2B11
KRAS	OR2B11
NRAS	OR2B11
CTSB	HRAS
CTSB	KRAS
CTSB	NRAS
HRAS	TK2
KRAS	TK2
NRAS	TK2
HEBP2	HRAS
HEBP2	KRAS
HEBP2	NRAS
DHX15	HRAS
DHX15	KRAS
DHX15	NRAS
HRAS	PAFAH1B1
KRAS	PAFAH1B1
NRAS	PAFAH1B1
HRAS	PKIA
KRAS	PKIA
NRAS	PKIA
HRAS	NDST3
KRAS	NDST3
NDST3	NRAS
HRAS	MTR
KRAS	MTR
MTR	NRAS
HRAS	UBC
KRAS	UBC
NRAS	UBC
ARL6IP2	HRAS
ARL6IP2	KRAS
ARL6IP2	NRAS
CRYM	HRAS
CRYM	KRAS
CRYM	NRAS
CXYORF2	HRAS
CXYORF2	KRAS
CXYORF2	NRAS
HRAS	XKR6
KRAS	XKR6
NRAS	XKR6
GON4L	HRAS
GON4L	KRAS
GON4L	NRAS
HBS1L	HRAS
HBS1L	KRAS
HBS1L	NRAS
HRAS	WWC1
KRAS	WWC1
NRAS	WWC1
CHN1	HRAS
CHN1	KRAS
CHN1	NRAS
FIGN	HRAS
FIGN	KRAS
FIGN	NRAS
HRAS	TRIM52
KRAS	TRIM52
NRAS	TRIM52
GTF2B	HRAS
GTF2B	KRAS
GTF2B	NRAS
ANAPC2	HRAS
ANAPC2	KRAS
ANAPC2	NRAS
HRAS	LOC401864
KRAS	LOC401864
LOC401864	NRAS
HRAS	USP9Y
KRAS	USP9Y
NRAS	USP9Y
HRAS	SLC26A6
KRAS	SLC26A6
NRAS	SLC26A6
HRAS	KPRP
KPRP	KRAS
KPRP	NRAS
GEMIN5	HRAS
GEMIN5	KRAS
GEMIN5	NRAS
CTNNAL1	HRAS
CTNNAL1	KRAS
CTNNAL1	NRAS
C5orf30	HRAS
C5orf30	KRAS
C5orf30	NRAS
HRAS	ZNF512
KRAS	ZNF512
NRAS	ZNF512
HRAS	SPTBN5
KRAS	SPTBN5
NRAS	SPTBN5
HRAS	ZC3H13
KRAS	ZC3H13
NRAS	ZC3H13
C11ORF36	HRAS
C11ORF36	KRAS
C11ORF36	NRAS
FBXL2	HRAS
FBXL2	KRAS
FBXL2	NRAS
HRAS	POLR2H
KRAS	POLR2H
NRAS	POLR2H
HRAS	IKBKB
IKBKB	KRAS
IKBKB	NRAS
HRAS	PCGF5
KRAS	PCGF5
NRAS	PCGF5
DLG4	HRAS
DLG4	KRAS
DLG4	NRAS
HRAS	KRTHBP2
KRAS	KRTHBP2
KRTHBP2	NRAS
CAMKV	HRAS
CAMKV	KRAS
CAMKV	NRAS
ACSL4	HRAS
ACSL4	KRAS
ACSL4	NRAS
HRAS	SULT6B1
KRAS	SULT6B1
NRAS	SULT6B1
HRAS	PIM2
KRAS	PIM2
NRAS	PIM2
HRAS	NDN
KRAS	NDN
NDN	NRAS
FZD8	HRAS
FZD8	KRAS
FZD8	NRAS
C6	HRAS
C6	KRAS
C6	NRAS
DNASE1L1	HRAS
DNASE1L1	KRAS
DNASE1L1	NRAS
EIF4G1	HRAS
EIF4G1	KRAS
EIF4G1	NRAS
CDA	CKS2
CKS2	DCK
CKS2	RRM1
CKS2	TYMS
CKS2	CMPK1
ABCB1	CKS2
ABCC10	CKS2
CKS2	SLC29A1
CKS2	SLC28A1
CKS2	SLC29A2
HRAS	SMURF2
KRAS	SMURF2
NRAS	SMURF2
HRAS	UBA6
KRAS	UBA6
NRAS	UBA6
HRAS	NADK
KRAS	NADK
NADK	NRAS
GPX4	HRAS
GPX4	KRAS
GPX4	NRAS
HRAS	SAE1
KRAS	SAE1
NRAS	SAE1
HRAS	SCFD1
KRAS	SCFD1
NRAS	SCFD1
HRAS	IL1RAP
IL1RAP	KRAS
IL1RAP	NRAS
HRAS	PRR4
KRAS	PRR4
NRAS	PRR4
HRAS	IBTK
IBTK	KRAS
IBTK	NRAS
FLJ33360	HRAS
FLJ33360	KRAS
FLJ33360	NRAS
HRAS	KIF2C
KIF2C	NRAS
GSPT1	HRAS
GSPT1	KRAS
GSPT1	NRAS
HRAS	PFDN1
KRAS	PFDN1
NRAS	PFDN1
HRAS	IFI6
IFI6	KRAS
IFI6	NRAS
HRAS	PRKAR2B
KRAS	PRKAR2B
NRAS	PRKAR2B
HRAS	ST6GALNAC5
KRAS	ST6GALNAC5
NRAS	ST6GALNAC5
ACVR2B	HRAS
ACVR2B	KRAS
ACVR2B	NRAS
CCNA2	HRAS
CCNA2	NRAS
HRAS	MN1
KRAS	MN1
MN1	NRAS
COL1A1	HRAS
COL1A1	KRAS
COL1A1	NRAS
ABCB5	HRAS
ABCB5	KRAS
ABCB5	NRAS
CS	HRAS
CS	KRAS
CS	NRAS
HRAS	MARCH5
KRAS	MARCH5
MARCH5	NRAS
HRAS	SOCS2
KRAS	SOCS2
NRAS	SOCS2
HRAS	ZNF542
KRAS	ZNF542
NRAS	ZNF542
HRAS	NUP43
KRAS	NUP43
NRAS	NUP43
HRAS	KLHL25
KLHL25	KRAS
KLHL25	NRAS
HRAS	RHOBTB3
KRAS	RHOBTB3
NRAS	RHOBTB3
HRAS	SRR
KRAS	SRR
NRAS	SRR
HRAS	PALMD
KRAS	PALMD
NRAS	PALMD
C11orf38	HRAS
C11orf38	KRAS
C11orf38	NRAS
HRAS	LOC283575
KRAS	LOC283575
LOC283575	NRAS
FBXL7	HRAS
FBXL7	KRAS
FBXL7	NRAS
HRAS	IGHD3-16
IGHD3-16	KRAS
IGHD3-16	NRAS
HRAS	KCNT2
KCNT2	KRAS
KCNT2	NRAS
HRAS	ID2B
ID2B	KRAS
ID2B	NRAS
ERN2	HRAS
ERN2	KRAS
ERN2	NRAS
GNGT1	HRAS
GNGT1	KRAS
GNGT1	NRAS
HDAC7A	HRAS
HDAC7A	KRAS
HDAC7A	NRAS
HRAS	PIP4K2A
KRAS	PIP4K2A
NRAS	PIP4K2A
HRAS	MOBKL2A
KRAS	MOBKL2A
MOBKL2A	NRAS
HRAS	LIN7C
KRAS	LIN7C
LIN7C	NRAS
HRAS	MRPS36P4
KRAS	MRPS36P4
MRPS36P4	NRAS
HRAS	POU2F2
KRAS	POU2F2
NRAS	POU2F2
GPATCH2	HRAS
GPATCH2	KRAS
GPATCH2	NRAS
HRAS	THOC1
NRAS	THOC1
HMBOX1	HRAS
HMBOX1	KRAS
HMBOX1	NRAS
CNTNAP1	HRAS
CNTNAP1	KRAS
CNTNAP1	NRAS
BFSP1	HRAS
BFSP1	KRAS
BFSP1	NRAS
HRAS	LEAP2
KRAS	LEAP2
LEAP2	NRAS
DSCAM	HRAS
DSCAM	KRAS
DSCAM	NRAS
CACNA2D2	HRAS
CACNA2D2	KRAS
CACNA2D2	NRAS
HRAS	SNX2
KRAS	SNX2
NRAS	SNX2
HRAS	LOC727910
KRAS	LOC727910
LOC727910	NRAS
HRAS	TBX20
KRAS	TBX20
NRAS	TBX20
FNDC9	HRAS
FNDC9	KRAS
FNDC9	NRAS
DDX52	HRAS
DDX52	KRAS
DDX52	NRAS
HRAS	UNQ9391
KRAS	UNQ9391
NRAS	UNQ9391
HRAS	RPL35
KRAS	RPL35
NRAS	RPL35
HRAS	NOLA3
KRAS	NOLA3
NOLA3	NRAS
ABCA10	HRAS
ABCA10	KRAS
ABCA10	NRAS
HRAS	TAF12
KRAS	TAF12
NRAS	TAF12
HRAS	UBTF
KRAS	UBTF
NRAS	UBTF
HRAS	NEDD4L
KRAS	NEDD4L
NEDD4L	NRAS
HRAS	KIF5C
KIF5C	KRAS
KIF5C	NRAS
ATP2A2	HRAS
ATP2A2	KRAS
ATP2A2	NRAS
HRAS	NGLY1
KRAS	NGLY1
NGLY1	NRAS
HIST1H2AA	HRAS
HIST1H2AA	KRAS
HIST1H2AA	NRAS
HRAS	PRTFDC1
KRAS	PRTFDC1
NRAS	PRTFDC1
HACE1	HRAS
HACE1	KRAS
HACE1	NRAS
CUL5	HRAS
CUL5	KRAS
CUL5	NRAS
HRAS	POLK
KRAS	POLK
NRAS	POLK
HRAS	PCSK2
KRAS	PCSK2
NRAS	PCSK2
HRAS	PHTF1
KRAS	PHTF1
NRAS	PHTF1
HRAS	ZNF550
KRAS	ZNF550
NRAS	ZNF550
DEFB118	HRAS
DEFB118	KRAS
DEFB118	NRAS
FARS2	HRAS
FARS2	KRAS
FARS2	NRAS
C6orf48	HRAS
C6orf48	KRAS
C6orf48	NRAS
BRCA2	HRAS
BRCA2	KRAS
BRCA2	NRAS
EPB41L4B	HRAS
EPB41L4B	KRAS
EPB41L4B	NRAS
CBS	HRAS
CBS	KRAS
CBS	NRAS
HRAS	NBR2
KRAS	NBR2
NBR2	NRAS
CPSF2	HRAS
CPSF2	KRAS
CPSF2	NRAS
CREG1	HRAS
CREG1	KRAS
CREG1	NRAS
CSNK1G1	HRAS
CSNK1G1	KRAS
CSNK1G1	NRAS
HRAS	NFATC2
KRAS	NFATC2
NFATC2	NRAS
FLRT2	HRAS
FLRT2	KRAS
FLRT2	NRAS
C20ORF51	HRAS
C20ORF51	KRAS
C20ORF51	NRAS
HRAS	SRXN1
KRAS	SRXN1
NRAS	SRXN1
GDF10	HRAS
GDF10	KRAS
GDF10	NRAS
ENPP4	HRAS
ENPP4	KRAS
ENPP4	NRAS
HRAS	IFIT2
IFIT2	KRAS
IFIT2	NRAS
HRAS	LAPTM5
KRAS	LAPTM5
LAPTM5	NRAS
GALNT14	HRAS
GALNT14	KRAS
GALNT14	NRAS
HRAS	RLF
KRAS	RLF
NRAS	RLF
CRNKL1	HRAS
CRNKL1	KRAS
CRNKL1	NRAS
HRAS	TMEM61
KRAS	TMEM61
NRAS	TMEM61
HRAS	OR4E2
KRAS	OR4E2
NRAS	OR4E2
COPS5	HRAS
COPS5	KRAS
COPS5	NRAS
HRAS	RPGR
KRAS	RPGR
NRAS	RPGR
BTBD1	HRAS
BTBD1	KRAS
BTBD1	NRAS
GRAP2	HRAS
GRAP2	KRAS
GRAP2	NRAS
HRAS	HSD3B7
HSD3B7	KRAS
HSD3B7	NRAS
HRAS	NMI
KRAS	NMI
NMI	NRAS
HRAS	KRT1
KRAS	KRT1
KRT1	NRAS
CHST8	HRAS
CHST8	KRAS
CHST8	NRAS
HRAS	MPL
KRAS	MPL
MPL	NRAS
CD82	HRAS
CD82	KRAS
CD82	NRAS
HRAS	SYTL2
KRAS	SYTL2
NRAS	SYTL2
ATAD2B	HRAS
ATAD2B	KRAS
ATAD2B	NRAS
HRAS	TUBGCP4
KRAS	TUBGCP4
NRAS	TUBGCP4
C2orf16	HRAS
C2orf16	KRAS
C2orf16	NRAS
FAT3	MYC
CDA	MAPKAP1
DCK	MAPKAP1
MAPKAP1	RRM1
MAPKAP1	TYMS
CMPK1	MAPKAP1
ABCB1	MAPKAP1
ABCC10	MAPKAP1
MAPKAP1	SLC29A1
MAPKAP1	SLC28A1
MAPKAP1	SLC29A2
CDA	MAPKAPK2
DCK	MAPKAPK2
MAPKAPK2	RRM1
MAPKAPK2	TYMS
CMPK1	MAPKAPK2
ABCB1	MAPKAPK2
ABCC10	MAPKAPK2
MAPKAPK2	SLC29A1
MAPKAPK2	SLC28A1
MAPKAPK2	SLC29A2
HRAS	KIAA0101
KIAA0101	KRAS
KIAA0101	NRAS
HRAS	OR2Z1
KRAS	OR2Z1
NRAS	OR2Z1
HRAS	SH2D3A
KRAS	SH2D3A
NRAS	SH2D3A
HRAS	MARVELD3
KRAS	MARVELD3
MARVELD3	NRAS
HRAS	LOC158435
KRAS	LOC158435
LOC158435	NRAS
FEZ2	HRAS
FEZ2	KRAS
FEZ2	NRAS
GOLGB1	HRAS
GOLGB1	KRAS
GOLGB1	NRAS
HRAS	MID1
KRAS	MID1
MID1	NRAS
HRAS	MORG1
KRAS	MORG1
MORG1	NRAS
HRAS	TIMM22
KRAS	TIMM22
NRAS	TIMM22
HRAS	SRD5A1
KRAS	SRD5A1
NRAS	SRD5A1
HRAS	LOC645382
KRAS	LOC645382
LOC645382	NRAS
C6ORF163	HRAS
C6ORF163	KRAS
C6ORF163	NRAS
HRAS	TRIM39
KRAS	TRIM39
NRAS	TRIM39
HRAS	SEC14L3
KRAS	SEC14L3
NRAS	SEC14L3
AXUD1	HRAS
AXUD1	KRAS
AXUD1	NRAS
HRAS	OR5AT1
KRAS	OR5AT1
NRAS	OR5AT1
GPR61	HRAS
GPR61	KRAS
GPR61	NRAS
HRAS	TMPRSS6
KRAS	TMPRSS6
NRAS	TMPRSS6
ANXA5	HRAS
ANXA5	KRAS
ANXA5	NRAS
C17orf81	HRAS
C17orf81	KRAS
C17orf81	NRAS
ABHD5	HRAS
ABHD5	KRAS
ABHD5	NRAS
CARM1	HRAS
CARM1	KRAS
CARM1	NRAS
HRAS	ZNF74
KRAS	ZNF74
NRAS	ZNF74
FGG	HRAS
FGG	KRAS
FGG	NRAS
FBXL11	HRAS
FBXL11	KRAS
FBXL11	NRAS
HRAS	LOC285556
KRAS	LOC285556
LOC285556	NRAS
CHD7	HRAS
CHD7	KRAS
CHD7	NRAS
HRAS	SDCCAG8
KRAS	SDCCAG8
NRAS	SDCCAG8
HRAS	SERPINB5
KRAS	SERPINB5
NRAS	SERPINB5
HRAS	WDR3
KRAS	WDR3
NRAS	WDR3
HRAS	LOC388242
KRAS	LOC388242
LOC388242	NRAS
HRAS	LOC391722
KRAS	LOC391722
LOC391722	NRAS
HMG17P1	HRAS
HMG17P1	KRAS
HMG17P1	NRAS
GABRA6	HRAS
GABRA6	KRAS
GABRA6	NRAS
BUB3	HRAS
BUB3	KRAS
BUB3	NRAS
HRAS	LOC440733
KRAS	LOC440733
LOC440733	NRAS
CA12	HRAS
CA12	KRAS
CA12	NRAS
CUX1	HRAS
CUX1	KRAS
CUX1	NRAS
C9orf93	HRAS
C9orf93	KRAS
C9orf93	NRAS
HRAS	SNAP23
KRAS	SNAP23
NRAS	SNAP23
HRAS	ZCCHC24
KRAS	ZCCHC24
NRAS	ZCCHC24
HRAS	LOC401825
KRAS	LOC401825
LOC401825	NRAS
HRAS	TOP2A
KRAS	TOP2A
NRAS	TOP2A
HRAS	TEAD1
KRAS	TEAD1
NRAS	TEAD1
HRAS	TWIST1
KRAS	TWIST1
NRAS	TWIST1
HRAS	WFDC12
KRAS	WFDC12
NRAS	WFDC12
HRAS	LOC201725
KRAS	LOC201725
LOC201725	NRAS
HRAS	OXA1L
KRAS	OXA1L
NRAS	OXA1L
HRAS	KDELC1
KDELC1	KRAS
KDELC1	NRAS
APOC1	HRAS
APOC1	KRAS
APOC1	NRAS
HRAS	LOC121456
KRAS	LOC121456
LOC121456	NRAS
HRAS	NPR2
KRAS	NPR2
NPR2	NRAS
DPPA3	HRAS
DPPA3	KRAS
DPPA3	NRAS
CCT8	HRAS
CCT8	KRAS
CCT8	NRAS
HRAS	ZNF254
KRAS	ZNF254
NRAS	ZNF254
HRAS	OR2H2
KRAS	OR2H2
NRAS	OR2H2
HRAS	LOC729623
KRAS	LOC729623
LOC729623	NRAS
CRNN	HRAS
CRNN	KRAS
CRNN	NRAS
HRAS	POU4F3
KRAS	POU4F3
NRAS	POU4F3
CD96	HRAS
CD96	KRAS
CD96	NRAS
CEBPZ	HRAS
CEBPZ	KRAS
CEBPZ	NRAS
AMPH	HRAS
AMPH	KRAS
AMPH	NRAS
HRAS	KRT72
KRAS	KRT72
KRT72	NRAS
HRAS	NOL4
KRAS	NOL4
NOL4	NRAS
HRAS	UBE2E1
KRAS	UBE2E1
NRAS	UBE2E1
HRAS	OIP5
NRAS	OIP5
HRAS	TMEM102
KRAS	TMEM102
NRAS	TMEM102
HRAS	RIMS1
KRAS	RIMS1
NRAS	RIMS1
HRAS	RPS19
KRAS	RPS19
NRAS	RPS19
HRAS	PLAA
KRAS	PLAA
NRAS	PLAA
HRAS	KCNA5
KCNA5	KRAS
KCNA5	NRAS
HRAS	NAV3
KRAS	NAV3
NAV3	NRAS
HRAS	HSD3B2
HSD3B2	KRAS
HSD3B2	NRAS
ALKBH7	HRAS
ALKBH7	KRAS
ALKBH7	NRAS
CD226	HRAS
CD226	KRAS
CD226	NRAS
HRAS	MAP3K1
KRAS	MAP3K1
MAP3K1	NRAS
HRAS	WDSOF1
KRAS	WDSOF1
NRAS	WDSOF1
HRAS	USP49
KRAS	USP49
NRAS	USP49
HRAS	PNPLA4
KRAS	PNPLA4
NRAS	PNPLA4
HRAS	TOMM20
KRAS	TOMM20
NRAS	TOMM20
ADAM22	HRAS
ADAM22	KRAS
ADAM22	NRAS
HRAS	SLC30A3
KRAS	SLC30A3
NRAS	SLC30A3
DYNLRB1	HRAS
DYNLRB1	KRAS
DYNLRB1	NRAS
HRAS	LOC731210
KRAS	LOC731210
LOC731210	NRAS
ELOVL7	HRAS
ELOVL7	KRAS
